TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD,OPPOSING_TEAM,HOME,DATE
BAL,3.03,29.63,2.57,27,147,-6,5.4,-0.21,48.1,1,HOU,False,2024-12-25
PIT,3.13,7.69,2.59,13,74,8,5.7,0.63,46.2,0,SF,False,2024-12-30
PIT,2.79,--,2.67,11,71,12,6.5,1.07,45.5,0,SF,False,2024-12-30
BAL,7.15,9.09,2.72,11,20,-21,1.8,-1.93,9.1,0,HOU,False,2024-12-25
