TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD,OPPOSING_TEAM,HOME,DATE
DAL,2.9,12,2.72,25,149,31,6.0,1.29,54.2,0,CAR,False,2024-12-15
ATL,3.71,9.09,2.92,22,125,43,5.7,1.94,54.5,0,LV,False,2024-12-16
TB,2.65,6.67,2.9,15,117,22,7.8,1.55,28.6,0,LAC,False,2024-12-15
ARI,2.88,56.25,2.79,16,110,50,6.9,3.12,43.8,2,NE,True,2024-12-15
LAR,3.79,--,2.62,29,108,-3,3.7,-0.1,46.4,0,SF,False,2024-12-12
IND,3.2,22.73,2.96,22,107,20,4.9,0.97,28.6,0,DEN,False,2024-12-15
BUF,2.7,21.43,2.77,14,105,34,7.5,2.4,42.9,2,DET,False,2024-12-15
CIN,3.57,8,2.43,25,97,-33,3.9,-1.44,17.4,1,TEN,False,2024-12-15
GB,3.81,7.69,2.65,26,94,0,3.6,-0.01,50,1,SEA,False,2024-12-15
MIN,3.65,5.56,2.63,18,86,4,4.8,0.24,33.3,1,CHI,True,2024-12-16
CHI,4.05,47.37,3.0,19,79,0,4.2,0.02,31.6,0,MIN,False,2024-12-16
NE,3.21,30.77,2.84,13,69,11,5.3,0.88,46.2,0,ARI,False,2024-12-15
BAL,3.24,35.71,2.93,14,67,19,4.8,1.38,50,0,NYG,False,2024-12-15
WAS,5.35,23.81,2.92,21,65,-25,3.1,-1.27,25,0,NO,False,2024-12-15
PHI,4.39,5.26,2.87,19,65,-19,3.4,-0.99,36.8,0,PIT,True,2024-12-15
JAX,3.71,14.29,2.95,14,65,9,4.6,0.67,42.9,0,NYJ,True,2024-12-15
TB,4.52,6.67,2.6,15,64,-3,4.3,-0.17,40,0,LAC,False,2024-12-15
SF,4.65,31.25,2.84,16,57,-7,3.6,-0.46,31.3,0,LV,False,2024-12-16
KC,4.33,38.46,2.7,13,45,-4,3.5,-0.33,30.8,0,CLE,False,2024-12-15
TEN,5.59,17.65,2.57,17,45,-25,2.6,-1.46,41.2,1,CIN,True,2024-12-15
ATL,5.15,33.33,3.21,12,43,6,3.6,0.47,58.3,0,LV,False,2024-12-16
JAX,3.86,27.27,2.8,11,42,-5,3.8,-0.49,30,0,NYJ,True,2024-12-15
MIA,5.18,8.33,2.76,12,41,-31,3.4,-3.14,--,0,HOU,False,2024-12-15
KC,5.06,15.38,2.48,13,32,-12,2.5,-0.96,46.2,0,CLE,False,2024-12-15
CAR,5.16,--,2.62,10,32,-14,3.2,-1.4,30,0,DAL,True,2024-12-15
NYG,4.39,30,2.98,10,31,1,3.1,0.06,30,0,BAL,True,2024-12-15
MIN,6.23,10,2.65,10,24,-10,2.4,-1.0,30,1,CHI,True,2024-12-16
HOU,9.36,50,3.03,12,23,-31,1.9,-2.6,25,0,MIA,True,2024-12-15
