TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
SEA,2.77,22.73,2.89,22,134,41,6.1,1.87,45.5,2
DAL,2.59,22.22,2.45,18,131,41,7.3,2.29,55.6,0
PHI,3.01,5,2.88,20,124,28,6.2,1.46,52.6,0
TEN,3.9,33.33,2.9,21,102,16,4.9,0.76,38.1,0
CAR,4.55,19.23,2.66,26,92,2,3.5,0.07,52,1
ATL,4.6,18.18,2.82,22,92,10,4.2,0.5,42.9,1
ARI,3.77,5.56,2.86,18,90,0,5,-0.02,27.8,0
TB,3.25,52.94,2.55,17,90,24,5.3,1.41,64.7,1
LAR,4.7,3.45,2.76,29,87,-11,3,-0.39,35.7,2
LV,2.85,40,2.47,15,78,30,5.2,2.03,60,0
SF,3.44,20,2.43,15,78,6,5.2,0.41,33.3,2
MIN,3.21,15.38,3.02,13,73,20,5.6,1.55,61.5,1
GB,3.99,50,2.66,18,66,2,3.7,0.11,44.4,3
CIN,3.52,--,2.49,14,58,-1,4.1,-0.07,50,0
KC,3.2,7.14,2.43,14,55,2,3.9,0.19,53.8,0
JAX,4.92,27.78,2.67,18,55,5,3.1,0.27,33.3,1
PIT,5.33,75,3.22,16,53,1,3.3,0.07,43.8,1
DET,4.24,50,2.52,14,51,7,3.6,0.56,30.8,1
CLE,3.88,9.09,2.82,11,48,10,4.4,0.95,40,0
NYG,4.66,37.5,2.69,16,45,-18,2.8,-1.15,18.8,1
NO,6.18,23.53,2.43,17,44,-7,2.6,-0.42,41.2,0
DET,6.23,20,3.13,15,43,-23,2.9,-1.53,13.3,0
NYJ,4,9.09,2.7,11,43,0,3.9,-0.01,54.5,0
NYJ,4.17,30,2.71,10,40,5,4,0.47,40,1
CHI,5.59,35.71,2.99,14,38,-29,2.7,-2.07,14.3,0
LAC,4.17,30,2.78,10,36,4,3.6,0.37,40,1
NO,7.24,10,3.33,10,32,16,3.2,1.61,60,1
CLE,7.37,--,2.88,10,28,-20,2.8,-2,50,0
MIA,7.41,42.86,2.73,14,24,-28,1.7,-1.97,14.3,1
